Quận,Loại hình nhà ở,Giấy tờ pháp lý,ViTriXa_km,TuoiNha,Số tầng,Số phòng ngủ,Diện tích_m2,Giá_m2
Quận Thanh Xuân,Chung cư,Đã có sổ,10.7,33,19,2,137,131.1
Quận Thanh Xuân,Chung cư,Sổ hồng,10.7,16,19,3,139,134.8
Quận Thanh Xuân,Chung cư,Sổ hồng,5,13,36,5,103,147.7
Quận Tây Hồ,Chung cư,Sổ hồng,3.3,39,37,3,83,149.5
Quận Long Biên,Chung cư,Sổ hồng,3.3,15,38,5,56,138.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,16.6,20,24,5,147,114.1
Quận Hà Đông,Chung cư,Sổ hồng,10.3,26,23,4,87,113.1
Quận Hà Đông,Chung cư,Sổ hồng,14.9,13,20,4,121,117.7
Quận Hà Đông,Duplex,Đã có sổ,19.3,1,16,1,97,105.9
Quận Thanh Xuân,Duplex,Sổ hồng,15.9,6,30,2,144,123.2
Quận Hà Đông,Penthouse,Sổ hồng,3.6,18,20,3,122,155.6
Quận Cầu Giấy,Chung cư,Đã có sổ,8.7,21,35,3,108,145.2
Quận Cầu Giấy,Chung cư,Đã có sổ,10.2,17,30,2,137,142.9
Quận Long Biên,Chung cư,Sổ hồng,14.2,28,21,3,99,109.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,19.3,23,36,5,117,103
Quận Hà Đông,Chung cư,Sổ hồng,6.1,7,17,5,114,141.1
Quận Hà Đông,Chung cư,Sổ hồng,17.3,34,17,2,35,86.9
Quận Hà Đông,Chung cư,Sổ hồng,1.9,34,22,4,138,147.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,17.5,35,39,3,131,103.9
Quận Long Biên,Chung cư,Đã có sổ,14,37,30,1,50,100.8
Quận Hai Bà Trưng,Chung cư,Đã có sổ,1.1,9,38,1,57,156.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,12.4,31,15,1,46,113.8
Quận Thanh Xuân,Duplex,Đã có sổ,18.7,35,9,4,110,105.5
Quận Thanh Xuân,Chung cư,Sổ hồng,8.9,29,23,4,60,124.5
Quận Hà Đông,Chung cư,Đã có sổ,2.8,14,20,1,104,155
Quận Thanh Xuân,Chung cư,Sổ hồng,19.8,15,12,3,65,92.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,8.6,37,5,5,145,137.1
Quận Thanh Xuân,Duplex,Đã có sổ,10.8,22,25,3,91,135.2
Quận Cầu Giấy,Chung cư,Sổ hồng,19.4,14,8,1,140,110.8
Quận Hà Đông,Duplex,Sổ hồng,11.9,5,29,4,146,136.7
Quận Tây Hồ,Chung cư,Sổ hồng,13.7,6,32,2,136,130.6
Quận Thanh Xuân,Chung cư,Đã có sổ,14.3,14,32,5,62,112.6
Quận Đống Đa,Penthouse,Sổ hồng,15.2,23,17,4,110,140
Quận Hà Đông,Duplex,Sổ hồng,16.1,2,4,1,52,108.9
Quận Cầu Giấy,Chung cư,Sổ hồng,2,13,5,3,135,160
Quận Hà Đông,Duplex,Sổ hồng,18.7,20,12,2,64,99.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,11.1,8,32,1,77,139
Quận Hà Đông,Chung cư,Đã có sổ,10.9,11,22,1,108,124.1
Quận Long Biên,Chung cư,Đã có sổ,16.8,23,12,1,108,104.9
Quận Thanh Xuân,Penthouse,Sổ hồng,6.5,19,18,2,145,160.2
Quận Cầu Giấy,Chung cư,Đã có sổ,13.3,34,38,5,60,118.5
Quận Tây Hồ,Duplex,Sổ hồng,6.7,34,6,2,105,158
Quận Hà Đông,Chung cư,Sổ hồng,15.3,33,26,4,100,100
Quận Đống Đa,Chung cư,Đã có sổ,8.9,27,26,2,75,126.9
Quận Long Biên,Duplex,Đã có sổ,4.1,4,8,1,86,148.5
Quận Thanh Xuân,Chung cư,Sổ hồng,18.2,17,11,5,118,108.7
Quận Hai Bà Trưng,Chung cư,Đã có sổ,15.2,8,4,4,119,130.4
Quận Cầu Giấy,Chung cư,Đã có sổ,0.8,5,14,5,62,161.6
Quận Thanh Xuân,Duplex,Đã có sổ,1.8,6,21,2,93,163.7
Quận Cầu Giấy,Chung cư,Đã có sổ,7.9,0,18,3,104,151.7
Quận Long Biên,Chung cư,Sổ hồng,15.7,29,34,4,102,103.1
Quận Thanh Xuân,Chung cư,Đã có sổ,5.9,21,12,3,45,132.3
Quận Hai Bà Trưng,Penthouse,Sổ hồng,19.8,32,5,3,85,100.7
Quận Tây Hồ,Chung cư,Sổ hồng,18.4,35,23,3,135,117.9
Quận Đống Đa,Duplex,Sổ hồng,17.4,4,39,3,107,123.9
Quận Đống Đa,Duplex,Đã có sổ,0.7,26,34,2,39,157
Quận Hà Đông,Chung cư,Đã có sổ,19.3,19,13,3,119,106.9
Quận Thanh Xuân,Chung cư,Đã có sổ,12,33,13,1,49,113.5
Quận Hà Đông,Chung cư,Sổ hồng,12,35,6,1,112,122.9
Quận Đống Đa,Chung cư,Sổ hồng,2.4,20,15,3,87,155.5
Quận Tây Hồ,Chung cư,Đã có sổ,12.4,14,13,1,51,124.7
Quận Tây Hồ,Duplex,Đã có sổ,10.8,17,36,2,49,138.7
Quận Long Biên,Chung cư,Đã có sổ,11.1,21,3,5,66,120.2
Quận Long Biên,Chung cư,Sổ hồng,4.2,38,37,4,38,134.5
Quận Hà Đông,Chung cư,Đã có sổ,11.1,5,8,4,67,118
Quận Đống Đa,Chung cư,Sổ hồng,1.9,15,20,2,107,160.8
Quận Long Biên,Chung cư,Đã có sổ,0.9,27,11,4,35,139.4
Quận Hà Đông,Duplex,Sổ hồng,4.7,29,25,5,146,152.3
Quận Tây Hồ,Chung cư,Sổ hồng,16.1,37,27,1,144,119.9
Quận Hà Đông,Chung cư,Đã có sổ,12.3,9,24,2,141,122.6
Quận Đống Đa,Duplex,Sổ hồng,17.9,9,19,4,132,123.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,8.1,2,11,4,113,142.9
Quận Tây Hồ,Chung cư,Sổ hồng,7.3,17,15,1,111,151
Quận Thanh Xuân,Chung cư,Sổ hồng,14.2,21,20,3,71,105.4
Quận Hai Bà Trưng,Duplex,Sổ hồng,8.4,28,12,2,57,131.6
Quận Đống Đa,Chung cư,Sổ hồng,7.9,7,17,2,66,132.5
Quận Thanh Xuân,Chung cư,Sổ hồng,9.6,7,39,3,112,136.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,2.7,2,20,2,78,157.7
Quận Đống Đa,Chung cư,Sổ hồng,4.5,29,7,2,90,144.3
Quận Hai Bà Trưng,Duplex,Sổ hồng,12.3,9,38,3,74,129.7
Quận Thanh Xuân,Chung cư,Sổ hồng,12.4,7,7,4,105,120.1
Quận Hà Đông,Chung cư,Sổ hồng,12,6,39,3,96,120.3
Quận Đống Đa,Chung cư,Đã có sổ,4.4,37,10,4,122,141.9
Quận Hà Đông,Chung cư,Đã có sổ,9,38,22,2,138,136
Quận Thanh Xuân,Chung cư,Đã có sổ,18.5,18,36,5,146,109
Quận Tây Hồ,Chung cư,Sổ hồng,17.3,13,28,5,73,114
Quận Hà Đông,Chung cư,Sổ hồng,11.4,32,17,1,88,112.2
Quận Hai Bà Trưng,Chung cư,Sổ hồng,18.1,27,27,3,121,107
Quận Hà Đông,Penthouse,Đã có sổ,13.7,19,33,4,139,137.6
Quận Hà Đông,Chung cư,Sổ hồng,8.5,39,11,2,72,124.7
Quận Hà Đông,Chung cư,Sổ hồng,15.6,0,39,2,146,118.9
Quận Hà Đông,Chung cư,Đã có sổ,6.4,25,37,2,133,138.6
Quận Đống Đa,Duplex,Đã có sổ,17.2,9,28,2,112,124.4
Quận Đống Đa,Chung cư,Đã có sổ,6.9,31,6,5,97,135.8
Quận Hà Đông,Chung cư,Đã có sổ,16,31,28,2,104,101.7
Quận Cầu Giấy,Chung cư,Sổ hồng,6,19,13,5,76,142.3
Quận Hà Đông,Chung cư,Đã có sổ,18.4,35,7,3,78,91.8
Quận Cầu Giấy,Chung cư,Đã có sổ,4.1,29,22,1,42,139.4
Quận Cầu Giấy,Chung cư,Đã có sổ,14.5,33,25,3,144,125.8
Quận Tây Hồ,Chung cư,Sổ hồng,8.5,32,39,2,115,135.8
Quận Đống Đa,Chung cư,Sổ hồng,0.9,13,5,3,41,153.5
Quận Đống Đa,Duplex,Sổ hồng,7,21,15,5,77,139.3
Quận Hà Đông,Chung cư,Sổ hồng,4.5,27,38,1,53,129
Quận Tây Hồ,Chung cư,Sổ hồng,11.3,29,35,5,57,123.3
Quận Đống Đa,Chung cư,Sổ hồng,5.6,7,23,3,64,143.4
Quận Hai Bà Trưng,Penthouse,Sổ hồng,1.9,27,22,3,103,166.5
Quận Hà Đông,Chung cư,Sổ hồng,19.1,20,20,4,68,99.4
Quận Tây Hồ,Chung cư,Sổ hồng,17,8,30,5,46,118.8
Quận Long Biên,Chung cư,Sổ hồng,1.4,15,29,2,74,146.5
Quận Long Biên,Chung cư,Sổ hồng,5.8,27,26,4,80,134.3
Quận Cầu Giấy,Chung cư,Sổ hồng,12.8,0,35,2,122,129.4
Quận Thanh Xuân,Duplex,Đã có sổ,6.8,36,8,1,42,141.1
Quận Thanh Xuân,Chung cư,Sổ hồng,6,4,38,5,68,141.5
Quận Thanh Xuân,Chung cư,Sổ hồng,12.1,11,38,2,127,125.7
Quận Long Biên,Chung cư,Sổ hồng,4.3,9,12,5,118,145.9
Quận Cầu Giấy,Penthouse,Sổ hồng,13.1,17,29,4,146,137.6
Quận Cầu Giấy,Penthouse,Sổ hồng,2.2,14,17,1,126,176.8
Quận Thanh Xuân,Chung cư,Đã có sổ,6.8,1,37,1,62,136.4
Quận Thanh Xuân,Chung cư,Sổ hồng,2.8,15,34,4,64,142.9
Quận Thanh Xuân,Duplex,Sổ hồng,6.3,39,31,5,44,131.3
Quận Long Biên,Chung cư,Sổ hồng,13.8,8,5,3,132,120.3
Quận Đống Đa,Chung cư,Đã có sổ,15.4,28,18,3,110,120.7
Quận Cầu Giấy,Penthouse,Sổ hồng,3.3,15,38,2,112,170.4
Quận Hà Đông,Chung cư,Sổ hồng,15.1,11,14,2,47,101.5
Quận Hà Đông,Chung cư,Sổ hồng,2.1,13,33,4,107,149.1
Quận Cầu Giấy,Duplex,Đã có sổ,4.7,39,38,2,94,144.6
Quận Hai Bà Trưng,Chung cư,Đã có sổ,10.3,37,36,2,125,135.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,19.4,32,29,3,124,96.6
Quận Hai Bà Trưng,Chung cư,Sổ hồng,19.5,24,7,3,136,106.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,9.8,22,37,5,83,132.5
Quận Cầu Giấy,Penthouse,Sổ hồng,16.2,6,13,3,113,133.5
Quận Tây Hồ,Penthouse,Sổ hồng,11.3,32,21,3,89,150.2
Quận Long Biên,Chung cư,Sổ hồng,15.2,6,16,4,86,110.2
Quận Tây Hồ,Duplex,Sổ hồng,13.2,20,36,5,104,138.8
Quận Cầu Giấy,Chung cư,Sổ hồng,14.1,10,16,5,64,119.7
Quận Tây Hồ,Chung cư,Sổ hồng,9.1,17,16,5,106,137.4
Quận Long Biên,Chung cư,Sổ hồng,16.7,10,23,3,64,105.4
Quận Long Biên,Chung cư,Đã có sổ,9.2,20,16,5,75,127.9
Quận Cầu Giấy,Chung cư,Đã có sổ,14.3,18,6,1,43,114.6
Quận Hai Bà Trưng,Chung cư,Sổ hồng,17.5,26,21,4,84,99.5
Quận Tây Hồ,Chung cư,Sổ hồng,13.3,11,38,1,93,125.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,10.4,1,20,2,109,135.5
Quận Đống Đa,Penthouse,Sổ hồng,10.8,5,25,2,75,143.5
Quận Tây Hồ,Penthouse,Sổ hồng,14.3,38,21,5,66,118.1
Quận Hà Đông,Duplex,Đã có sổ,2.3,13,30,1,47,150.9
Quận Đống Đa,Chung cư,Sổ hồng,12.9,24,14,1,38,116.1
Quận Hà Đông,Chung cư,Đã có sổ,7.8,38,3,1,62,122.5
Quận Tây Hồ,Chung cư,Sổ hồng,3.1,14,21,3,79,155.9
Quận Cầu Giấy,Chung cư,Sổ hồng,18.3,23,32,1,50,104.4
Quận Hà Đông,Chung cư,Sổ hồng,10.2,20,37,2,41,109.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,9.4,32,39,2,99,135
Quận Long Biên,Chung cư,Đã có sổ,11.1,19,9,2,130,135
Quận Đống Đa,Duplex,Sổ hồng,12.6,5,9,4,147,150.2
Quận Tây Hồ,Chung cư,Sổ hồng,4.3,7,7,2,63,156.1
Quận Tây Hồ,Chung cư,Sổ hồng,12.7,30,9,4,127,127.6
Quận Cầu Giấy,Chung cư,Sổ hồng,7.4,6,35,3,49,140.3
Quận Hà Đông,Chung cư,Đã có sổ,14.4,35,36,4,64,111.9
Quận Cầu Giấy,Chung cư,Đã có sổ,15.6,27,23,2,43,113.7
Quận Thanh Xuân,Chung cư,Đã có sổ,0.6,36,10,4,68,152.5
Quận Đống Đa,Duplex,Đã có sổ,14.5,33,25,1,73,119.4
Quận Tây Hồ,Chung cư,Sổ hồng,7.4,23,36,5,61,143.3
Quận Long Biên,Chung cư,Sổ hồng,6.4,35,25,2,147,133.6
Quận Cầu Giấy,Chung cư,Sổ hồng,7.8,5,38,3,147,150.4
Quận Cầu Giấy,Chung cư,Sổ hồng,11.7,23,13,1,73,122.8
Quận Đống Đa,Chung cư,Đã có sổ,2.7,11,12,2,100,162
Quận Đống Đa,Chung cư,Sổ hồng,14.1,30,39,3,124,118.8
Quận Thanh Xuân,Chung cư,Sổ hồng,9.2,29,39,3,46,115.5
Quận Long Biên,Duplex,Đã có sổ,3.6,18,4,5,84,152.4
Quận Tây Hồ,Chung cư,Sổ hồng,10.4,21,5,5,63,132.1
Quận Hà Đông,Chung cư,Sổ hồng,11.7,28,13,3,103,113.6
Quận Long Biên,Chung cư,Sổ hồng,7.3,18,28,5,105,134.5
Quận Hà Đông,Chung cư,Đã có sổ,18,21,26,3,67,96.2
Quận Hai Bà Trưng,Chung cư,Sổ hồng,14.1,10,39,1,108,123.3
Quận Hà Đông,Chung cư,Đã có sổ,13.4,35,16,5,80,104.4
Quận Cầu Giấy,Duplex,Sổ hồng,1.5,18,29,3,129,173.2
Quận Tây Hồ,Chung cư,Sổ hồng,10.3,3,9,5,138,142.2
Quận Hà Đông,Chung cư,Sổ hồng,17.1,14,4,2,73,96.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,13.5,5,17,4,103,124.2
Quận Hà Đông,Chung cư,Đã có sổ,5,20,32,2,50,135.4
Quận Cầu Giấy,Chung cư,Sổ hồng,17.3,0,8,2,85,130.4
Quận Cầu Giấy,Chung cư,Đã có sổ,7.7,3,29,5,46,134.9
Quận Hà Đông,Chung cư,Đã có sổ,18.3,15,24,3,104,115
Quận Hai Bà Trưng,Chung cư,Sổ hồng,10.5,28,7,1,126,138.8
Quận Thanh Xuân,Chung cư,Sổ hồng,15.8,25,31,4,49,104
Quận Hai Bà Trưng,Chung cư,Sổ hồng,12.4,31,36,3,48,117.8
Quận Hai Bà Trưng,Chung cư,Đã có sổ,6.2,19,19,1,104,147.8
Quận Hai Bà Trưng,Duplex,Sổ hồng,13.2,0,10,3,90,135.1
Quận Hà Đông,Chung cư,Sổ hồng,0.7,16,17,2,89,154.3
Quận Tây Hồ,Chung cư,Sổ hồng,16.8,3,18,4,125,121.8
Quận Hà Đông,Chung cư,Sổ hồng,19.3,35,28,5,85,94.1
Quận Hà Đông,Chung cư,Sổ hồng,4.5,35,20,2,72,129.1
Quận Thanh Xuân,Chung cư,Đã có sổ,17.7,19,38,4,77,102.9
Quận Thanh Xuân,Duplex,Sổ hồng,3.8,17,9,4,114,151.5
Quận Cầu Giấy,Chung cư,Sổ hồng,10.1,38,31,3,133,134.9
Quận Đống Đa,Chung cư,Sổ hồng,6.2,3,5,5,65,140
Quận Thanh Xuân,Chung cư,Đã có sổ,4.2,12,10,4,78,152.1
Quận Thanh Xuân,Duplex,Sổ hồng,15.2,25,23,4,50,109
Quận Hai Bà Trưng,Chung cư,Sổ hồng,16.2,8,9,2,74,105.6
Quận Thanh Xuân,Chung cư,Sổ hồng,16.9,20,30,4,55,102.8
Quận Thanh Xuân,Chung cư,Sổ hồng,0.7,15,34,1,47,148.9
Quận Cầu Giấy,Chung cư,Sổ hồng,17,25,36,3,133,116
Quận Hai Bà Trưng,Chung cư,Đã có sổ,1.5,37,35,3,149,158.7
Quận Cầu Giấy,Chung cư,Sổ hồng,9.2,29,31,2,130,138.8
Quận Hà Đông,Penthouse,Đã có sổ,3.9,25,21,3,130,165.8
Quận Hà Đông,Duplex,Đã có sổ,18.2,33,25,3,96,104.4
Quận Hai Bà Trưng,Duplex,Sổ hồng,11.7,19,22,3,120,141.8
Quận Đống Đa,Chung cư,Sổ hồng,9.6,22,26,1,115,132.6
Quận Long Biên,Duplex,Đã có sổ,9.2,31,5,3,135,143.5
Quận Cầu Giấy,Chung cư,Sổ hồng,8.4,29,16,3,115,140
Quận Thanh Xuân,Chung cư,Sổ hồng,9.7,25,28,1,70,120.4
Quận Thanh Xuân,Chung cư,Sổ hồng,11.5,23,3,2,79,125.9
Quận Cầu Giấy,Chung cư,Sổ hồng,16.4,2,26,2,108,118.3
Quận Thanh Xuân,Chung cư,Sổ hồng,5.1,23,8,1,79,147.1
Quận Thanh Xuân,Chung cư,Sổ hồng,16.2,30,6,1,62,97
Quận Đống Đa,Chung cư,Sổ hồng,16.7,21,31,5,50,105.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,17.1,21,11,5,108,111
Quận Hà Đông,Penthouse,Đã có sổ,18.9,8,6,1,53,106.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,19.2,22,6,5,119,105.7
Quận Thanh Xuân,Chung cư,Đã có sổ,2.6,22,17,2,117,157.2
Quận Thanh Xuân,Duplex,Sổ hồng,17.6,19,33,3,74,99
Quận Đống Đa,Chung cư,Đã có sổ,17,26,26,5,47,102.3
Quận Cầu Giấy,Penthouse,Sổ hồng,7.9,26,24,3,144,160
Quận Cầu Giấy,Duplex,Sổ hồng,14,28,32,2,137,130.3
Quận Hà Đông,Chung cư,Đã có sổ,18.6,3,37,2,111,110.1
Quận Tây Hồ,Chung cư,Sổ hồng,2.3,14,28,3,111,162.2
Quận Hai Bà Trưng,Penthouse,Đã có sổ,7.4,6,4,3,140,167.6
Quận Cầu Giấy,Penthouse,Đã có sổ,19.5,19,17,4,40,111.2
Quận Long Biên,Chung cư,Sổ hồng,11.2,8,30,4,114,117.6
Quận Hai Bà Trưng,Chung cư,Đã có sổ,2.3,28,31,1,104,152.1
Quận Đống Đa,Chung cư,Sổ hồng,19.2,10,30,5,99,106.8
Quận Long Biên,Chung cư,Sổ hồng,18.1,1,16,5,105,106.7
Quận Hà Đông,Penthouse,Sổ hồng,16.2,23,6,3,82,112.7
Quận Thanh Xuân,Duplex,Đã có sổ,16,1,24,1,51,116.2
Quận Hà Đông,Chung cư,Sổ hồng,10,11,39,5,123,123.9
Quận Đống Đa,Chung cư,Đã có sổ,17.6,21,27,3,41,101
Quận Đống Đa,Chung cư,Sổ hồng,6.5,4,3,2,143,150.8
Quận Đống Đa,Chung cư,Đã có sổ,7.5,15,18,2,122,145.8
Quận Tây Hồ,Chung cư,Đã có sổ,4.7,6,15,1,58,155.5
Quận Tây Hồ,Chung cư,Sổ hồng,8.4,7,27,3,108,150
Quận Long Biên,Chung cư,Đã có sổ,5.1,19,34,2,83,141
Quận Long Biên,Duplex,Sổ hồng,7.1,26,25,3,146,140.3
Quận Tây Hồ,Duplex,Sổ hồng,14,16,25,1,130,133.4
Quận Cầu Giấy,Chung cư,Đã có sổ,8.9,17,35,2,95,135
Quận Thanh Xuân,Chung cư,Đã có sổ,15.5,16,20,4,38,114.6
Quận Hà Đông,Chung cư,Sổ hồng,9.8,11,39,4,124,121.5
Quận Long Biên,Chung cư,Sổ hồng,3.2,30,8,4,81,137.3
Quận Hà Đông,Duplex,Sổ hồng,15,33,4,2,145,112.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,1.8,2,13,5,37,153.7
Quận Cầu Giấy,Penthouse,Đã có sổ,18.9,5,11,2,116,126.1
Quận Thanh Xuân,Chung cư,Sổ hồng,16.9,7,17,1,39,94.8
Quận Hai Bà Trưng,Chung cư,Sổ hồng,19.3,15,13,4,43,92
Quận Cầu Giấy,Chung cư,Sổ hồng,5.3,15,9,1,83,150.7
Quận Hà Đông,Chung cư,Sổ hồng,9.9,28,24,5,66,113.3
Quận Thanh Xuân,Chung cư,Sổ hồng,4.3,19,6,3,44,138
Quận Hà Đông,Chung cư,Sổ hồng,8.7,15,8,1,73,117.5
Quận Hai Bà Trưng,Chung cư,Đã có sổ,5.3,9,9,3,133,156
Quận Hà Đông,Penthouse,Sổ hồng,17.1,22,34,2,113,115.9
Quận Đống Đa,Chung cư,Đã có sổ,2.9,32,17,5,128,158.4
Quận Cầu Giấy,Chung cư,Đã có sổ,4.9,29,6,4,69,141.6
Quận Long Biên,Chung cư,Sổ hồng,5.6,18,28,4,106,142
Quận Hà Đông,Chung cư,Sổ hồng,14.9,8,34,4,45,103.2
Quận Đống Đa,Chung cư,Đã có sổ,12.8,32,33,1,65,118.2
Quận Hai Bà Trưng,Chung cư,Sổ hồng,3.2,24,33,1,84,148.2
Quận Thanh Xuân,Chung cư,Đã có sổ,12.3,3,30,2,128,133.9
Quận Long Biên,Chung cư,Sổ hồng,17,36,38,4,116,106
Quận Đống Đa,Chung cư,Sổ hồng,9.3,39,23,2,65,117.7
Quận Hà Đông,Chung cư,Đã có sổ,12.4,19,29,5,112,125.1
Quận Thanh Xuân,Duplex,Sổ hồng,10.9,38,11,3,52,118.7
Quận Tây Hồ,Duplex,Đã có sổ,7.5,6,30,2,135,158.5
Quận Hai Bà Trưng,Duplex,Sổ hồng,0.6,38,12,4,35,151.7
Quận Thanh Xuân,Chung cư,Sổ hồng,4.1,5,34,1,66,152.4
Quận Thanh Xuân,Penthouse,Sổ hồng,19,6,39,2,101,115.8
Quận Long Biên,Penthouse,Sổ hồng,7.4,5,23,3,40,136.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,6.3,1,28,5,78,141.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,12.5,10,39,2,104,129.7
Quận Hà Đông,Chung cư,Đã có sổ,18.1,23,30,2,58,102.7
Quận Hai Bà Trưng,Duplex,Đã có sổ,6.4,5,27,2,125,160.9
Quận Hà Đông,Duplex,Sổ hồng,4.9,23,15,3,53,138.7
Quận Thanh Xuân,Chung cư,Đã có sổ,18.1,1,30,5,127,108.5
Quận Đống Đa,Chung cư,Sổ hồng,15.6,39,9,5,103,110.4
Quận Tây Hồ,Chung cư,Đã có sổ,14.2,14,33,4,103,139.5
Quận Thanh Xuân,Chung cư,Đã có sổ,11.4,6,19,2,101,127.5
Quận Hà Đông,Duplex,Sổ hồng,8.8,25,14,4,104,135.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,12.9,32,20,3,66,106.5
Quận Đống Đa,Chung cư,Đã có sổ,4.7,33,21,5,129,155.5
Quận Long Biên,Duplex,Đã có sổ,16.4,10,20,3,88,115
Quận Hai Bà Trưng,Chung cư,Sổ hồng,8.6,22,22,3,76,129.2
Quận Cầu Giấy,Chung cư,Sổ hồng,15.2,24,7,2,79,114.6
Quận Tây Hồ,Duplex,Sổ hồng,16.3,11,16,1,59,116.6
Quận Hai Bà Trưng,Chung cư,Đã có sổ,2,22,16,3,70,157.6
Quận Long Biên,Chung cư,Sổ hồng,13.7,32,9,5,66,102.7
Quận Đống Đa,Chung cư,Sổ hồng,6.4,20,35,2,135,147.8
Quận Long Biên,Duplex,Sổ hồng,7.5,8,21,2,65,137.4
Quận Cầu Giấy,Duplex,Đã có sổ,14.8,13,24,2,118,133
Quận Hà Đông,Chung cư,Sổ hồng,19.2,26,7,4,87,90.2
Quận Long Biên,Chung cư,Đã có sổ,16.2,8,12,3,123,116.2
Quận Thanh Xuân,Duplex,Sổ hồng,6.2,26,33,5,132,146.8
Quận Cầu Giấy,Chung cư,Sổ hồng,14.3,9,25,2,145,124.6
Quận Long Biên,Chung cư,Sổ hồng,6.9,3,17,3,146,137.4
Quận Long Biên,Chung cư,Sổ hồng,9.1,38,5,3,116,131.8
Quận Cầu Giấy,Chung cư,Đã có sổ,2.9,1,35,2,53,155.6
Quận Long Biên,Chung cư,Đã có sổ,16.8,39,23,1,62,96.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,13.1,23,11,4,125,130.8
Quận Đống Đa,Chung cư,Đã có sổ,17.3,35,33,2,52,104.3
Quận Long Biên,Penthouse,Sổ hồng,4.9,9,9,1,141,165.9
Quận Hà Đông,Chung cư,Đã có sổ,3,36,38,5,107,139.9
Quận Thanh Xuân,Chung cư,Sổ hồng,16.4,21,25,1,37,104.5
Quận Thanh Xuân,Chung cư,Đã có sổ,17.6,18,26,4,63,108.1
Quận Hà Đông,Chung cư,Sổ hồng,3.9,4,13,3,114,146.5
Quận Đống Đa,Penthouse,Sổ hồng,13,28,36,2,146,140.1
Quận Long Biên,Duplex,Sổ hồng,3.7,31,4,4,87,140.4
Quận Long Biên,Duplex,Đã có sổ,0.8,15,18,1,129,166.9
Quận Đống Đa,Duplex,Đã có sổ,11.1,2,25,4,79,142.9
Quận Long Biên,Penthouse,Sổ hồng,19,32,8,4,73,103.3
Quận Thanh Xuân,Chung cư,Đã có sổ,12,39,4,3,48,114
Quận Cầu Giấy,Chung cư,Đã có sổ,8.9,10,24,3,120,143.1
Quận Long Biên,Chung cư,Sổ hồng,6,39,7,1,139,133.9
Quận Cầu Giấy,Chung cư,Đã có sổ,6,8,29,3,109,147.9
Quận Thanh Xuân,Chung cư,Sổ hồng,5.6,27,26,1,116,147.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,4.6,28,21,3,47,140
Quận Hà Đông,Chung cư,Sổ hồng,1.8,28,36,4,126,142.4
Quận Long Biên,Chung cư,Sổ hồng,15.3,38,6,1,124,112.2
Quận Thanh Xuân,Chung cư,Đã có sổ,6.6,36,5,1,105,136
Quận Cầu Giấy,Chung cư,Sổ hồng,3.5,35,36,1,76,144.1
Quận Thanh Xuân,Duplex,Sổ hồng,12.3,15,9,1,119,125.5
Quận Đống Đa,Chung cư,Đã có sổ,18.7,36,11,2,64,99.7
Quận Hà Đông,Penthouse,Sổ hồng,13.9,33,3,1,102,118.4
Quận Đống Đa,Duplex,Đã có sổ,4.2,36,30,5,115,162.9
Quận Long Biên,Chung cư,Sổ hồng,8.6,28,38,1,133,128.3
Quận Tây Hồ,Chung cư,Sổ hồng,16.6,22,10,3,36,112.1
Quận Thanh Xuân,Chung cư,Sổ hồng,1.5,22,12,4,108,151.7
Quận Hà Đông,Duplex,Đã có sổ,7.1,35,27,3,54,130.1
Quận Đống Đa,Chung cư,Đã có sổ,8.1,12,29,5,74,143.8
Quận Tây Hồ,Chung cư,Sổ hồng,9.3,14,5,2,114,141.4
Quận Tây Hồ,Chung cư,Đã có sổ,11.4,26,38,3,63,128.2
Quận Thanh Xuân,Chung cư,Sổ hồng,10.1,5,27,4,46,126.1
Quận Hai Bà Trưng,Penthouse,Sổ hồng,3.7,0,32,4,135,171.7
Quận Hà Đông,Chung cư,Sổ hồng,8.6,0,18,4,48,131.6
Quận Cầu Giấy,Chung cư,Đã có sổ,7.7,2,37,5,83,143
Quận Cầu Giấy,Chung cư,Sổ hồng,18.6,7,23,1,112,119.4
Quận Hà Đông,Chung cư,Đã có sổ,15,30,24,2,76,108.8
Quận Hà Đông,Chung cư,Đã có sổ,17.4,31,6,5,99,106.2
Quận Cầu Giấy,Chung cư,Đã có sổ,14.3,26,35,5,90,123.3
